title,url,type_bill,year,period
PL 190-24 YARUMAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3326-proyecto-de-ley-190-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 189-24 SEMANA SANTA MOMPOXINA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3325-proyecto-de-ley-189-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 188-24 POLÍTICA PÚBLICA EDUCACIÓN RURAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3324-proyecto-de-ley-188-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 187-24 PROFESIÓN PARAMEDICO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3323-proyecto-de-ley-187-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 186-24 PARQUE ECOINDUSTRIAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3322-proyecto-de-ley-186-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 185-24 POLÍTICA PÚBLICA DE AGUA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3321-proyecto-de-ley-185-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 183-24 JURISDICCIÓN AGRARIA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3320-proyecto-de-ley-183-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 182-24 PROFESIÓN GESTOR CULTURAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3319-proyecto-de-ley-182-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 181-24 LEY DE PROTECCIÓN DEPORTE FEMENINO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3318-proyecto-de-ley-181-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 175-24 BOLSA PLASTICAS REUTILIZABLES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3317-proyecto-de-ley-175-de-2024,Proyecto de ley,2024-2025,2022 - 2026
